date,new_cases,new_deaths,total_cases,total_deaths
1/05/2020,0,0,0,0
1/06/2020,0,0,0,0
1/07/2020,0,0,0,0
1/08/2020,0,0,0,0
1/09/2020,0,0,0,0
1/10/2020,0,0,0,0
1/11/2020,0,0,0,0
1/12/2020,0,0,0,0
13/01/2020,0,0,0,0
14/01/2020,0,0,0,0
15/01/2020,0,0,0,0
16/01/2020,0,0,0,0
17/01/2020,0,0,0,0
18/01/2020,0,0,0,0
19/01/2020,0,0,0,0
20/01/2020,0,0,0,0
21/01/2020,0,0,0,0
22/01/2020,0,0,0,0
23/01/2020,0,0,0,0
24/01/2020,0,0,0,0
25/01/2020,0,0,0,0
26/01/2020,4,0,4,0
27/01/2020,0,0,4,0
28/01/2020,0,0,4,0
29/01/2020,0,0,4,0
30/01/2020,0,0,4,0
31/01/2020,0,0,4,0
2/01/2020,0,0,4,0
2/02/2020,8,0,12,0
2/03/2020,0,0,12,0
2/04/2020,0,0,12,0
2/05/2020,0,0,12,0
2/06/2020,0,0,12,0
2/07/2020,0,0,12,0
2/08/2020,0,0,12,0
2/09/2020,3,0,15,0
2/10/2020,0,0,15,0
2/11/2020,0,0,15,0
2/12/2020,0,0,15,0
13/02/2020,0,0,15,0
14/02/2020,0,0,15,0
15/02/2020,0,0,15,0
16/02/2020,0,0,15,0
17/02/2020,0,0,15,0
18/02/2020,0,0,15,0
19/02/2020,0,0,15,0
20/02/2020,0,0,15,0
21/02/2020,0,0,15,0
22/02/2020,0,0,15,0
23/02/2020,7,0,22,0
24/02/2020,0,0,22,0
25/02/2020,0,0,22,0
26/02/2020,0,0,22,0
27/02/2020,0,0,22,0
28/02/2020,0,0,22,0
29/02/2020,0,0,22,0
3/01/2020,3,0,25,0
3/02/2020,0,0,25,0
3/03/2020,0,0,25,0
3/04/2020,0,0,25,0
3/05/2020,0,0,25,0
3/06/2020,0,0,25,0
3/07/2020,0,0,25,0
3/08/2020,45,4,70,4
3/09/2020,0,0,70,4
3/10/2020,0,0,70,4
3/11/2020,0,0,70,4
3/12/2020,0,0,70,4
13/03/2020,0,0,70,4
14/03/2020,0,0,70,4
15/03/2020,179,3,249,7
16/03/2020,0,0,249,7
17/03/2020,0,0,249,7
18/03/2020,0,0,249,7
19/03/2020,0,0,249,7
20/03/2020,0,0,249,7
21/03/2020,0,0,249,7
22/03/2020,832,2,1081,9
23/03/2020,0,0,1081,9
24/03/2020,0,0,1081,9
25/03/2020,0,0,1081,9
26/03/2020,0,0,1081,9
27/03/2020,0,0,1081,9
28/03/2020,0,0,1081,9
29/03/2020,2728,7,3809,16
30/03/2020,0,0,3809,16
31/03/2020,0,0,3809,16
4/01/2020,0,0,3809,16
4/02/2020,0,0,3809,16
4/03/2020,0,0,3809,16
4/04/2020,0,0,3809,16
4/05/2020,1826,20,5635,36
4/06/2020,0,0,5635,36
4/07/2020,0,0,5635,36
4/08/2020,0,0,5635,36
4/09/2020,0,0,5635,36
4/10/2020,0,0,5635,36
4/11/2020,0,0,5635,36
4/12/2020,654,25,6289,61
13/04/2020,0,0,6289,61
14/04/2020,0,0,6289,61
15/04/2020,0,0,6289,61
16/04/2020,0,0,6289,61
17/04/2020,0,0,6289,61
18/04/2020,0,0,6289,61
19/04/2020,297,12,6586,73
20/04/2020,0,0,6586,73
21/04/2020,0,0,6586,73
22/04/2020,0,0,6586,73
23/04/2020,0,0,6586,73
24/04/2020,0,0,6586,73
25/04/2020,0,0,6586,73
26/04/2020,117,12,6703,85
27/04/2020,0,0,6703,85
28/04/2020,0,0,6703,85
29/04/2020,0,0,6703,85
30/04/2020,0,0,6703,85
5/01/2020,0,0,6703,85
5/02/2020,0,0,6703,85
5/03/2020,80,14,6783,99
5/04/2020,0,0,6783,99
5/05/2020,0,0,6783,99
5/06/2020,0,0,6783,99
5/07/2020,0,0,6783,99
5/08/2020,0,0,6783,99
5/09/2020,0,0,6783,99
5/10/2020,146,2,6929,101
5/11/2020,0,0,6929,101
5/12/2020,0,0,6929,101
13/05/2020,0,0,6929,101
14/05/2020,0,0,6929,101
15/05/2020,0,0,6929,101
16/05/2020,0,0,6929,101
17/05/2020,107,2,7036,103
18/05/2020,0,0,7036,103
19/05/2020,0,0,7036,103
20/05/2020,0,0,7036,103
21/05/2020,0,0,7036,103
22/05/2020,0,0,7036,103
23/05/2020,0,0,7036,103
24/05/2020,70,4,7106,107
25/05/2020,0,0,7106,107
26/05/2020,0,0,7106,107
27/05/2020,0,0,7106,107
28/05/2020,0,0,7106,107
29/05/2020,0,0,7106,107
30/05/2020,0,0,7106,107
31/05/2020,79,0,7185,107
6/01/2020,0,0,7185,107
6/02/2020,0,0,7185,107
6/03/2020,0,0,7185,107
6/04/2020,0,0,7185,107
6/05/2020,0,0,7185,107
6/06/2020,0,0,7185,107
6/07/2020,70,0,7255,107
6/08/2020,0,0,7255,107
6/09/2020,0,0,7255,107
6/10/2020,0,0,7255,107
6/11/2020,0,0,7255,107
6/12/2020,0,0,7255,107
13/06/2020,0,0,7255,107
14/06/2020,47,0,7302,107
15/06/2020,0,0,7302,107
16/06/2020,0,0,7302,107
17/06/2020,0,0,7302,107
18/06/2020,0,0,7302,107
19/06/2020,0,0,7302,107
20/06/2020,0,0,7302,107
21/06/2020,134,0,7436,107
22/06/2020,0,0,7436,107
23/06/2020,0,0,7436,107
24/06/2020,0,0,7436,107
25/06/2020,0,0,7436,107
26/06/2020,0,0,7436,107
27/06/2020,0,0,7436,107
28/06/2020,205,1,7641,108
29/06/2020,0,0,7641,108
30/06/2020,0,0,7641,108
7/01/2020,0,0,7641,108
7/02/2020,0,0,7641,108
7/03/2020,0,0,7641,108
7/04/2020,0,0,7641,108
7/05/2020,721,1,8362,109
7/06/2020,0,0,8362,109
7/07/2020,0,0,8362,109
7/08/2020,0,0,8362,109
7/09/2020,0,0,8362,109
7/10/2020,0,0,8362,109
7/11/2020,0,0,8362,109
7/12/2020,1191,4,9553,113
13/07/2020,0,0,9553,113
14/07/2020,0,0,9553,113
15/07/2020,0,0,9553,113
16/07/2020,0,0,9553,113
17/07/2020,0,0,9553,113
18/07/2020,0,0,9553,113
19/07/2020,1888,16,11441,129
20/07/2020,0,0,11441,129
21/07/2020,0,0,11441,129
22/07/2020,0,0,11441,129
23/07/2020,0,0,11441,129
24/07/2020,0,0,11441,129
25/07/2020,0,0,11441,129
26/07/2020,2509,45,13950,174
27/07/2020,0,0,13950,174
28/07/2020,0,0,13950,174
29/07/2020,0,0,13950,174
30/07/2020,0,0,13950,174
31/07/2020,0,0,13950,174
8/01/2020,0,0,13950,174
8/02/2020,3332,95,17282,269
8/03/2020,0,0,17282,269
8/04/2020,0,0,17282,269
8/05/2020,0,0,17282,269
8/06/2020,0,0,17282,269
8/07/2020,0,0,17282,269
8/08/2020,0,0,17282,269
8/09/2020,3416,106,20698,375
8/10/2020,0,0,20698,375
8/11/2020,0,0,20698,375
8/12/2020,0,0,20698,375
13/08/2020,0,0,20698,375
14/08/2020,0,0,20698,375
15/08/2020,0,0,20698,375
16/08/2020,2337,138,23035,513
17/08/2020,0,0,23035,513
18/08/2020,0,0,23035,513
19/08/2020,0,0,23035,513
20/08/2020,0,0,23035,513
21/08/2020,0,0,23035,513
22/08/2020,0,0,23035,513
23/08/2020,1567,114,24602,627
24/08/2020,0,0,24602,627
25/08/2020,0,0,24602,627
26/08/2020,0,0,24602,627
27/08/2020,0,0,24602,627
28/08/2020,0,0,24602,627
29/08/2020,0,0,24602,627
30/08/2020,945,97,25547,724
31/08/2020,0,0,25547,724
9/01/2020,0,0,25547,724
9/02/2020,0,0,25547,724
9/03/2020,0,0,25547,724
9/04/2020,0,0,25547,724
9/05/2020,0,0,25547,724
9/06/2020,660,58,26207,782
9/07/2020,0,0,26207,782
9/08/2020,0,0,26207,782
9/09/2020,0,0,26207,782
9/10/2020,0,0,26207,782
9/11/2020,0,0,26207,782
9/12/2020,0,0,26207,782
13/09/2020,400,46,26607,828
14/09/2020,0,0,26607,828
15/09/2020,0,0,26607,828
16/09/2020,0,0,26607,828
17/09/2020,0,0,26607,828
18/09/2020,0,0,26607,828
19/09/2020,0,0,26607,828
20/09/2020,278,36,26885,864
21/09/2020,0,0,26885,864
22/09/2020,0,0,26885,864
23/09/2020,0,0,26885,864
24/09/2020,0,0,26885,864
25/09/2020,0,0,26885,864
26/09/2020,0,0,26885,864
27/09/2020,131,23,27016,887
28/09/2020,0,0,27016,887
29/09/2020,0,0,27016,887
30/09/2020,0,0,27016,887
10/01/2020,0,0,27016,887
10/02/2020,0,0,27016,887
10/03/2020,0,0,27016,887
10/04/2020,105,19,27121,906
10/05/2020,0,0,27121,906
10/06/2020,0,0,27121,906
10/07/2020,0,0,27121,906
10/08/2020,0,0,27121,906
10/09/2020,0,0,27121,906
10/10/2020,0,0,27121,906
10/11/2020,123,5,27244,911
10/12/2020,0,0,27244,911
